ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Fecha en que empieza el precio rebajado,Fecha en que termina el precio de oferta,Estado del impuesto,Clase de impuesto,¿En stock?,Stock,Cantidad de bajo stock,¿Permitir reservas de productos agotados?,Vendido Individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir reseñas de clientes?,Notas de la compra,Precio de oferta,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Marcas,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo predeterminado 1
,variable,168,,ES COLONIA AMBRÉ 5070,1,0,visible,Las imágenes son ilustrativas,"DESODORANTE DE PISO,",,,taxable,,1,,,0,0,,,,,1,,,,CÍTRICO,CÍTRICO,,http://localhost:8069/wp-content/uploads/2026/03/ES-COLONIA-AMBRE-5070.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES COLONIA AMBRÉ 5070 - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,168,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES COLONIA AMBRÉ 5070 - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,168,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES COLONIA AMBRÉ 5070 - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,168,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES COLONIA AMBRÉ 5070 - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,168,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES COLONIA AMBRÉ 5070 - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,168,,,,,,5,,Presentaciones,20 Litros,,0,
,variable,164,,ES COLONIA BB 5072,1,0,visible,Las imágenes son ilustrativas,"DESODORANTE DE PISO,",,,taxable,,1,,,0,0,,,,,1,,,,CÍTRICO,CÍTRICO,,http://localhost:8069/wp-content/uploads/2026/03/ES-COLONIA-BB-5072.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES COLONIA BB 5072 - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,164,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES COLONIA BB 5072 - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,164,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES COLONIA BB 5072 - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,164,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES COLONIA BB 5072 - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,164,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES COLONIA BB 5072 - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,164,,,,,,5,,Presentaciones,20 Litros,,0,
